requirement_id,requirement,authoritative_specs,implementation_issues,evidence_gate_issues,required_evidence
R-001,Browser first-run site creation,05-functional-spec/00-onboarding-and-sites.md,19:first-run-site-creation;20:installation-verification;21:diagnostics-ring,47:browser-e2e-upgrade;48:cross-cutting-review,Fresh-install real-browser E2E with first accepted event
R-002,Persistent anonymous identity,06-data-tracking/03-identity-and-session-semantics.md,6:protocol-v2-schema3;7:persistent-anonymous-identity;13:legacy-migration,47:browser-e2e-upgrade;48:cross-cutting-review,Identity browser and migration fixtures across days
R-003,Optional identified user and safe reset,06-data-tracking/03-identity-and-session-semantics.md,9:identify-links;42:session-detail-profile,47:browser-e2e-upgrade;48:cross-cutting-review,Two-device shared-browser conflict and reset E2E
R-004,Cross-midnight session semantics,06-data-tracking/03-identity-and-session-semantics.md,8:session-semantics;41:session-list;42:session-detail-profile,47:browser-e2e-upgrade;48:cross-cutting-review,Exact inactivity midnight sequence and old-session fixture
R-005,Site-local reporting timezone,06-data-tracking/08-attribution-and-time.md;07-technical-architecture/07-timezone-architecture.md,11:site-timezone;25:date-comparison-urls,47:browser-e2e-upgrade;48:cross-cutting-review;49:operations-release-packaging,TZif DST range ingestion migration and locked-zone E2E
R-006,Queryable typed flat properties,06-data-tracking/06-properties-and-queryability.md,10:queryable-properties;24:typed-analysis-query;29:analyze-breakdown;30:filters-segments-views,46:performance-benchmarks;47:browser-e2e-upgrade;48:cross-cutting-review,Property semantics URL round-trip cardinality and benchmark
R-007,Expanded tracker context SPA engagement scroll and automatic events,06-data-tracking/01-event-protocol-v2.md;06-data-tracking/02-tracker-api.md,6:protocol-v2-schema3;12:tracker-v2-behavior,46:performance-benchmarks;47:browser-e2e-upgrade;48:cross-cutting-review,Real-browser SPA engagement scroll optional-event and size evidence
R-008,Honest legacy migration,06-data-tracking/10-legacy-migration.md,13:legacy-migration,47:browser-e2e-upgrade;48:cross-cutting-review;49:operations-release-packaging,Exact-baseline repeated upgrade metric preservation and rollback
R-009,Six-destination server-first shell,03-product/02-information-architecture.md,16:app-shell;44:mobile-behavioral-ux,47:browser-e2e-upgrade;48:cross-cutting-review,Direct navigation JS-off history mobile and context evidence
R-010,Fixed useful Overview,05-functional-spec/01-overview.md,26:overview-kpis;27:overview-trend-panels,46:performance-benchmarks;47:browser-e2e-upgrade;48:cross-cutting-review,Metric fixture comparison panels drill mobile and timeout evidence
R-011,Typed Trend analysis,05-functional-spec/02-analyze.md,24:typed-analysis-query;28:analyze-trend,46:performance-benchmarks;47:browser-e2e-upgrade;48:cross-cutting-review,Query fixture canonical URL chart table and latency evidence
R-012,Typed Breakdown analysis,05-functional-spec/02-analyze.md,24:typed-analysis-query;29:analyze-breakdown,46:performance-benchmarks;47:browser-e2e-upgrade;48:cross-cutting-review,Metric parity typed dimensions property cardinality and latency
R-013,Universal filters segments and saved views,05-functional-spec/03-filters-segments-saved-state.md,30:filters-segments-views,47:browser-e2e-upgrade;48:cross-cutting-review,Filter grammar canonical URL stale state persistence and browser E2E
R-014,Entity details and bounded export,05-functional-spec/02-analyze.md;05-functional-spec/11-exports-and-annotations.md,31:entity-details-exports,47:browser-e2e-upgrade;48:cross-cutting-review,Detail routes session links CSV JSON parity injection and limits
R-015,Guided property-aware goals,05-functional-spec/04-goals.md,33:goal-builder-management;34:goal-predicates-preview,47:browser-e2e-upgrade;48:cross-cutting-review,Goal CRUD predicate preview type mismatch and JS-off builder
R-016,Visual funnel builder and analysis,05-functional-spec/05-funnels.md,35:visual-funnel-builder;36:funnel-query-result;37:funnel-session-drill,46:performance-benchmarks;47:browser-e2e-upgrade;48:cross-cutting-review,Builder persistence mode window metric drill mobile and timeout evidence
R-017,Forward and reverse paths,05-functional-spec/06-paths.md,38:path-exploration,46:performance-benchmarks;47:browser-e2e-upgrade;48:cross-cutting-review,Path corpus normalization query layout fallback and latency
R-018,Persistent-identity retention,05-functional-spec/07-retention.md,39:retention-cohorts,46:performance-benchmarks;47:browser-e2e-upgrade;48:cross-cutting-review,Cohort fixture DST legacy exclusion drill mobile and latency
R-019,Session list timeline and profile,05-functional-spec/08-sessions-and-profiles.md,41:session-list;42:session-detail-profile,46:performance-benchmarks;47:browser-e2e-upgrade;48:cross-cutting-review,Session identity pagination timeline profile mobile and browser E2E
R-020,Live activity and tracking diagnostics,05-functional-spec/09-live-and-debugger.md,21:diagnostics-ring;43:live-traffic-page,46:performance-benchmarks;47:browser-e2e-upgrade;48:cross-cutting-review,Polling manual refresh ring wrap stale restart redaction and latency
R-021,Complete settings UX,05-functional-spec/10-settings.md,22:site-settings,47:browser-e2e-upgrade;48:cross-cutting-review;49:operations-release-packaging,Forms policies path rules destructive safety failures and defaults
R-022,Analytico visual language and server-rendered components,04-design/00-design-language.md;04-design/01-design-tokens.md;04-design/02-components.md;04-design/03-data-visualization.md,15:visual-language;17:components-charts-states,47:browser-e2e-upgrade;48:cross-cutting-review,Tokens contrast asset sizes component states SVG tables and screenshots
R-023,Mobile and accessibility,04-design/04-responsive-and-accessibility.md;08-quality/06-accessibility-checklist.md,17:components-charts-states;44:mobile-behavioral-ux,47:browser-e2e-upgrade;48:cross-cutting-review,Mobile journey keyboard contrast zoom reduced-motion screen-reader and JS-off
R-024,Performance and resource budgets,08-quality/00-performance-budgets.md,46:performance-benchmarks,46:performance-benchmarks;50:cut-1.0,Committed ReleaseSafe million-event latency memory disk asset evidence
R-025,Operationally safe 1.0 release,08-quality/07-release-readiness.md,47:browser-e2e-upgrade;48:cross-cutting-review;49:operations-release-packaging;50:cut-1.0,47:browser-e2e-upgrade;48:cross-cutting-review;49:operations-release-packaging;50:cut-1.0,Full artifact migration failure security backup restore rollback and owner acceptance
R-026,Exact value and currency semantics,06-data-tracking/01-event-protocol-v2.md;06-data-tracking/07-metric-semantics-v2.md,6:protocol-v2-schema3;12:tracker-v2-behavior;24:typed-analysis-query;26:overview-kpis;27:overview-trend-panels;31:entity-details-exports,46:performance-benchmarks;47:browser-e2e-upgrade;48:cross-cutting-review,Decimal round-trip mixed-currency separation export and aggregation fixtures
R-027,Annotations,05-functional-spec/11-exports-and-annotations.md,27:overview-trend-panels;31:entity-details-exports,47:browser-e2e-upgrade;48:cross-cutting-review,Annotation CRUD trend range URL mobile and stale-state E2E
